item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Low Fat,FDE45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,12.10,177.3002,4
Low Fat,FDH32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07604566,12.80,96.5410,4
Low Fat,FDG57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07228469,14.70,49.8034,4
Low Fat,FDZ20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03430048,16.10,253.2356,4
Low Fat,FDB09,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05738524,16.25,126.2046,4
Low Fat,FDC45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13570755,17.00,172.5106,4
Low Fat,FDB33,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01457741,17.75,160.7262,4
Low Fat,FDP07,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08988478,18.20,195.1110,4
Low Fat,FDR08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03761584,18.70,109.1886,4
Low Fat,FDG32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.17596225,19.85,223.0772,4
Low Fat,FDQ44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03613346,20.50,120.1756,4
Low Fat,DRF23,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12262912,4.61,175.4396,4
Low Fat,DRM35,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07043124,9.70,177.5344,4
Low Fat,DRO47,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11220345,10.20,111.7860,4
Low Fat,DRL59,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02122011,16.75,55.1298,4
Low Fat,NCK29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12574524,5.62,122.4730,4
Low Fat,NCL17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06776690,7.39,140.6812,4
Low Fat,NCL53,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03622807,7.50,175.2028,4
Low Fat,NCP29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11224978,8.42,64.3168,4
Low Fat,NCJ29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03518627,10.60,85.1224,4
Low Fat,NCM29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01763889,11.50,132.7626,4
Low Fat,NCB42,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00855956,11.80,117.2492,4
Low Fat,NCY29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07721951,13.65,56.4930,4
Low Fat,NCC54,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09769245,17.75,242.4196,4
Low Fat,NCJ05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04607956,18.70,151.5682,4
Low Fat,NCA05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02512588,20.75,150.4734,4
Low Fat,NCW30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01100782,5.21,259.5962,4
Low Fat,NCB31,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11865192,6.24,263.9910,4
Low Fat,NCC19,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09686226,6.57,193.9820,4
Low Fat,NCZ30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02618003,6.59,120.7098,4
Low Fat,NCH42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03653041,6.86,227.8010,4
Low Fat,NCN06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12047448,8.39,165.5868,4
Low Fat,NCY54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.17766125,8.43,170.5422,4
Low Fat,NCE19,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09299703,8.97,55.2956,4
Low Fat,NCX54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04805078,9.20,105.6622,4
Low Fat,NCV54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03310268,11.10,116.6124,4
Low Fat,NCQ06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04181662,13.00,254.5014,4
Low Fat,NCH07,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09264951,13.15,157.8604,4
Low Fat,NCS54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00999127,13.60,175.5370,4
Low Fat,NCW18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05931360,15.10,238.1248,4
Low Fat,NCD18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07265538,16.00,229.8668,4
Low Fat,NCW06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,16.20,190.8162,4
Low Fat,NCT06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03873023,17.10,166.2842,4
Low Fat,NCR38,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11349700,17.25,253.4724,4
Low Fat,NCI55,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01265117,18.60,123.1414,4
Low Fat,NCA30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12930928,19.00,188.8872,4
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08300408,20.60,119.4756,5
Low Fat,NCO30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01572192,19.50,185.6608,4
Low Fat,NCB18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04128336,19.60,87.0514,4
Low Fat,NCY30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02594835,20.25,180.0976,4
Low Fat,NCE54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02689477,20.70,76.7354,4
Low Fat,FDP27,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11942805,8.16,190.8530,4
Low Fat,FDL43,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02705926,10.10,76.4670,4
Low Fat,FDK15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09839522,10.80,100.8042,4
Low Fat,FDI19,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05232917,15.10,243.1512,4
Low Fat,FDU39,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03603114,18.85,60.4562,4
Low Fat,NCL31,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12025825,7.39,141.5470,4
Low Fat,NCK19,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09044853,9.80,194.5478,4
Low Fat,NCL55,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06464846,12.15,253.4040,4
Low Fat,NCP55,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,14.65,53.8614,4
Low Fat,FDH21,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03121911,10.40,156.9604,4
Low Fat,FDI57,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05401543,19.85,196.3768,4
Low Fat,FDQ57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02794236,7.28,145.0760,4
Low Fat,FDR33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02678387,7.31,108.1570,4
Low Fat,FDQ58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,7.32,153.7340,4
Low Fat,FDM46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.15993760,7.37,93.9120,4
Low Fat,FDW33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09910185,9.40,105.8280,4
Low Fat,FDV09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02056469,12.10,148.2734,4
Low Fat,FDU22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09327891,12.35,118.7124,4
Low Fat,FDP34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,12.85,155.4630,4
Low Fat,FDQ33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09118992,13.35,149.3708,4
Low Fat,FDA46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11761321,13.60,194.2136,4
Low Fat,FDN09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03486810,14.15,243.7828,4
Low Fat,FDK09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09174595,15.20,229.0352,4
Low Fat,FDT57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01903118,15.20,235.5248,4
Low Fat,FDT45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05730261,15.85,53.3956,4
Low Fat,FDY45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,17.50,253.0356,4
Low Fat,FDZ09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10485914,17.60,161.8868,4
Low Fat,FDO34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02993328,17.70,169.0816,4
Low Fat,FDZ58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05216700,17.85,121.7072,4
Low Fat,FDN57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05422394,18.25,142.0154,4
Low Fat,FDV58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12122745,20.85,197.5452,4
Low Fat,DRE12,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07076717,4.59,111.9860,4
Low Fat,DRD25,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07895712,6.14,111.9860,4
Low Fat,DRF25,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03891789,9.00,35.9190,4
Low Fat,DRJ24,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11330779,11.80,187.0924,4
Low Fat,DRK49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03593692,14.15,41.0138,4
Low Fat,DRM37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09637959,15.35,196.5768,4
Low Fat,DRH37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04160849,17.60,165.4526,4
Low Fat,DRC12,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03781972,17.85,191.6188,4
Low Fat,FDF59,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07123054,12.50,128.1020,4
Regular,FDZ36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06577134,6.04,185.3240,4
Regular,FDT24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.18582417,12.35,78.5328,4
Regular,FDJ36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12823582,14.50,104.1332,4
Regular,FDU12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07573675,15.50,265.5568,4
Regular,FDX11,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10673190,16.00,183.6634,4
Regular,FDK60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09384653,16.50,95.7068,4
Regular,FDX12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02605956,18.20,241.2196,4
Regular,FDJ60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06251660,19.35,163.9184,4
Regular,FDU60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05988972,20.00,168.5132,4
Regular,FDZ47,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07928148,20.70,100.1042,4
Regular,FDS24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06221271,20.85,88.1514,4
Regular,FDQ11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06768812,5.70,258.8988,4
Regular,FDZ35,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02227426,9.60,101.6990,4
Regular,FDR11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14251127,10.50,158.7578,4
Regular,FDR59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06385148,14.50,260.4594,4
Regular,FDX49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10181252,4.62,232.2300,4
Regular,FDF26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04662594,6.83,154.9998,4
Low Fat,DRA12,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,11.60,141.9154,4
Regular,FDA37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05521631,7.81,125.5046,4
Regular,FDJ26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08474916,15.30,215.5218,4
Regular,FDA25,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06811287,16.50,104.5990,4
Regular,FDY49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01200980,17.20,163.1184,4
Regular,FDU49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03068856,19.50,85.7540,4
Regular,FDE50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01620258,19.70,188.2556,4
Regular,FDW14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03820431,8.30,87.7198,4
Regular,FDC03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07183291,8.58,194.1794,4
Regular,FDY02,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08762935,8.95,263.4910,4
Regular,FDC51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00962004,10.90,121.6730,4
Regular,FDB04,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06321435,11.35,88.3856,4
Regular,FDW26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10703694,11.80,220.3772,4
Regular,FDC40,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06505159,16.00,76.1986,4
Regular,FDL39,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06331938,16.10,180.9318,4
Regular,FDU26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04261090,16.70,117.2782,4
Regular,FDD52,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.18326022,18.25,108.5570,4
Regular,FDF40,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02250788,20.25,248.1092,4
Regular,FDV26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07614605,20.25,197.0794,4
Regular,FDY26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03050476,20.60,212.6244,4
Regular,FDL51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04748239,20.70,215.9876,4
Regular,FDP40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03435067,4.56,112.7544,4
Regular,FDR16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10499814,5.85,213.2218,4
Regular,FDV04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14998687,7.83,158.8288,4
Regular,FDI53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13761893,8.90,161.5236,4
Regular,FDX52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04199462,11.50,194.7820,4
Regular,FDC05,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09876591,13.10,196.3768,4
Regular,FDI04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07289865,13.65,198.1426,4
Regular,FDP28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08062523,13.65,259.6936,4
Regular,FDR28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02589159,13.85,165.1210,4
Regular,FDW40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10512557,14.00,143.2812,4
Regular,FDH28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11001019,15.85,38.8506,4
Regular,FDA28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04779285,16.10,126.1362,4
Regular,FDV28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.15969819,16.10,32.0558,4
Regular,FDB41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09729473,19.00,47.7718,4
Regular,FDS56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03874954,5.79,262.0252,4
Regular,FDT07,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07730446,5.82,257.6330,4
Regular,FDV44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03983690,8.37,191.6188,4
Regular,FDC33,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06892530,8.96,196.9768,4
Regular,FDE20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00552947,11.35,169.2790,4
Regular,FDF57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,14.50,169.6448,4
Regular,FDD56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10375865,15.20,177.0054,4
Regular,FDQ32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04659968,17.85,125.1388,4
Regular,FDW32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09427900,18.35,86.3882,4
Regular,FDX07,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02291448,19.20,181.1950,4
Regular,FDP31,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.16147442,21.10,62.9168,4
Regular,FDM15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05741072,11.80,149.5366,4
Regular,FDM51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02592132,11.80,101.9674,4
Regular,FDI07,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03375448,12.35,199.0426,4
Regular,FDN51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02094287,17.85,260.2936,4
Regular,FDQ15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.15104488,20.35,79.2276,4
Regular,FDJ10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12947918,5.10,139.7838,4
Regular,FDM45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08817805,8.66,122.6756,4
Regular,FDQ45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01091499,9.50,183.8608,4
Regular,FDB46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09374614,10.50,211.9244,4
Regular,FDG58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08676480,10.70,156.7972,4
Regular,FDO21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00976118,11.60,226.9404,4
Regular,FDO22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,13.50,78.3960,4
Regular,FDO10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01274929,13.65,58.8588,4
Regular,FDM22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04194983,14.00,54.0640,4
Regular,FDL57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06706413,15.10,257.9304,4
Regular,FDT09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01226098,15.15,131.7284,4
Regular,FDY22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.15969047,16.50,142.4128,4
Low Fat,FDC47,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11886816,15.00,229.4694,4
Regular,FDE23,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05317095,17.60,45.6060,4
Regular,DRC36,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04497637,13.00,176.2054,4
Low Fat,FDW28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.14867359,18.25,197.2452,4
Low Fat,FDX43,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.14273285,5.66,167.9500,4
Low Fat,FDP19,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.29043032,11.50,130.6652,4
Low Fat,NCC54,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.16354806,17.75,239.3196,4
Low Fat,NCX53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.02500288,20.10,140.4154,4
Low Fat,NCQ30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04866104,7.73,123.7414,4
Low Fat,NCA29,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04565512,10.50,169.8106,4
Low Fat,NCN26,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04800426,10.85,117.5808,4
Low Fat,NCJ18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.27440519,12.35,117.1124,4
Low Fat,FDV24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.17285672,5.64,148.2050,4
Low Fat,FDX23,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.04969792,6.45,95.0436,4
Low Fat,FDJ48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.09446031,11.30,245.3118,4
Low Fat,FDE24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.15643727,14.85,142.0812,4
Low Fat,FDL36,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.12733477,15.10,88.2830,4
Low Fat,FDS48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.04649678,15.15,149.6708,4
Low Fat,FDV36,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.04402416,18.70,125.9020,4
Low Fat,FDU48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.09265870,18.85,131.4284,4
Low Fat,FDM13,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.10574254,6.43,130.5626,4
Low Fat,FDO37,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.03578018,8.06,230.2326,4
Low Fat,DRG03,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.10375282,14.50,155.2018,4
Low Fat,DRH03,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.05869048,17.25,91.6120,4
Low Fat,FDX50,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.12491064,20.10,109.6228,4
Low Fat,FDK28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.10978406,5.70,256.0646,4
Low Fat,FDK40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.00000000,7.04,263.2910,4
Low Fat,FDD17,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.05461083,7.50,237.1906,4
Low Fat,FDM28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.07566199,15.70,181.3660,4
Low Fat,FDO40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.05461277,17.10,150.2392,4
Low Fat,FDX16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.11015252,17.85,150.2050,4
Low Fat,FDQ56,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.17674826,6.59,82.7908,4
Low Fat,FDY32,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.21632301,7.61,165.0210,4
Low Fat,FDK56,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.00000000,9.70,186.7898,4
Low Fat,FDM44,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.05197079,12.50,103.6990,4
Low Fat,FDG57,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.12101263,14.70,49.4034,4
Low Fat,FDZ20,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.05742282,16.10,253.7356,4
Low Fat,FDR07,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.13012737,21.35,96.2094,4
Low Fat,DRI11,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.05758572,8.26,113.7834,4
Low Fat,DRM47,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.07328828,9.30,189.1846,4
Low Fat,DRJ11,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.14242515,9.50,189.9872,4
Low Fat,DRJ59,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.03242518,11.65,38.8164,4
Low Fat,DRL35,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.00000000,15.70,43.3770,4
Low Fat,NCU53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.07155777,5.49,165.7842,4
Low Fat,NCK29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.21051156,5.62,121.3730,4
Low Fat,NCJ17,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.25534829,7.68,84.4224,4
Low Fat,NCV53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.03149011,8.27,239.0880,4
Low Fat,NCL29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.19071125,9.70,159.1604,4
Low Fat,NCV05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.05056285,10.10,153.3656,4
Low Fat,NCM29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.02952947,11.50,132.6626,4
Low Fat,NCZ17,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.13295229,12.15,37.6506,4
Low Fat,NCO41,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.03154913,12.50,99.0384,4
Low Fat,NCP05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.04232456,19.60,150.9024,4
Low Fat,NCJ43,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04530863,6.64,173.1396,4
Low Fat,NCE31,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.30939026,7.67,33.2216,4
Low Fat,NCD43,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.02681412,8.85,103.7964,4
Low Fat,NCO14,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04961777,9.60,44.2086,4
Low Fat,NCH54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.12163321,13.50,161.6920,4
Low Fat,FDA50,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.14591331,16.25,95.4410,4
Low Fat,NCL06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.12062477,14.65,261.7594,4
Low Fat,NCN30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.02844314,16.35,98.1410,4
